Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IA|TEBBI|-8.151183|115.373344|301.5|Tejakula, Buleleng, Bali|2023-12-04T00:00:00|
IA|TNG|-6.1719|106.6469|51.25|Station Tangerang, Indonesia|2006-01-01T00:00:00|
IA|TOJI|-6.7621|108.1344|73.0|Station Type B Tomo,Sumedang,Jawa Barat|2019-01-01T00:00:00|
IA|TSJM|-6.7319|107.8109|420.0|Type MR, Tanjungsiang,Subang,Jawa Barat|2019-01-01T00:00:00|
IA|TUJI|-8.4018|113.7322|79.0|Station Type B Tumpakrejo,Jember,Jawa Timur|2019-01-01T00:00:00|
IA|UGM|-7.9125|110.5231|350.0|GEOFON Station Wanagama, Indonesia|2006-06-29T00:00:00|
IA|UWJI|-6.4191|110.9474|61.52|Station Ujung Watu, Java|2009-01-01T00:00:00|
IA|WGJM|-7.3833|112.5098|35.0|Type MR, Wringianom,Gresik,Jawa Timur|2019-01-01T00:00:00|
IA|WLJI|-6.8310983|105.8909467|46.0|Station Type B Wonosalam,Lebak,Banten|2019-01-01T00:00:00|
IA|WOJI|-7.8372|110.9236|183.62|Station Wonogiri, Java, Indonesia (BMKG)|2009-01-01T00:00:00|
IA|WRJI|-7.81129|113.74565|491.0|Station Type B Curahdami,Bondowoso,Jawa Timur|2019-01-01T00:00:00|
IA|WSJM|-6.97472|106.7247|310.0|Type MR, Warungkiara,Sukabumi,Jawa Barat|2019-01-01T00:00:00|
